Client,SP Customer Number,Contract Number,Material Code,PCKG,Contract Start Date,Contract End Date,$ ACV,% ACV Subject to Royalty,$ Calc Royalty Base,$ Max Royalty Base,$ Actual Royalty Base,Ending Within 1 Month,Ending Within 2 Months,Ending Within 3 Months,Billed This Quarter,Is First Billing,Late New,Late Renewal,SP AM Rep Name,SP OWM AM Rep Name,SP CSM Rep Name
BLACK & VEATCH CORPORATION,1003850198.0,133087510.0,42638814,pa,12/28/2022,12/27/2023,25266.18,0.14,3537.2652000000003,8000.0,3537.2652000000003,,,,False,,False,False,"RICHARDS, DEVIN",UNASSIGNED REP,"ARROYO, JESSICA"
BLACKLINE SYSTEMS INC,1005593165.0,135085867.0,42638816,pa,05/07/2023,05/06/2024,29482.25,0.14,4127.515,8000.0,4127.515,,,,False,,False,False,"FOX, JASON",UNASSIGNED REP,"PATEL-SHAH, NIRALI"
"BLOCK, INC.",1004617816.0,135175787.0,42638813,pa,10/01/2022,09/30/2023,79300.0,0.1,7930.0,8000.0,7930.0,,,,False,,False,False,"BREUCKMAN, BARRETT",UNASSIGNED REP,"OTT, EVA"
BOEHRINGER INGELHEIM USA CORP,1003851244.0,137085501.0,42638814,pa,12/01/2022,11/30/2023,28291.26,0.14,3960.7764,8000.0,3960.7764,,,,False,,False,False,"CASALE, DAVID",UNASSIGNED REP,"KOLITSOV, MARTIN"
BOOKING HOLDINGS INC.,1005391436.0,135823743.0,42638813,pa,08/03/2023,08/02/2024,26750.0,0.1,2675.0,8000.0,2675.0,,,,False,,False,False,"CASALE, DAVID",UNASSIGNED REP,"KOLITSOV, MARTIN"
BOOKING HOLDINGS INC.,1005391436.0,135823743.0,42638813,pa,10/01/2022,09/30/2023,163996.9,0.1,16399.69,8000.0,8000.0,,,,False,,False,False,"CASALE, DAVID",UNASSIGNED REP,"KOLITSOV, MARTIN"
BORG WARNER INC.,1003850021.0,260174405.0,43060270,pa,12/01/2022,11/30/2023,323476.58,0.26,84103.91080000001,30000.0,30000.0,,,,False,,False,False,"REILLY, NICHOLAS","REILLY, NICHOLAS","LELACHEUR, CHERYL"
BOSTON SCIENTIFIC,1003854091.0,136250293.0,42638813,pa,03/01/2023,02/29/2024,142969.51,0.1,14296.951000000001,8000.0,8000.0,,,,False,,False,False,"FOGARTY, BOB",UNASSIGNED REP,"BIANCO, NICHOLAS"
BRAND INDUSTRIAL SERVICES INC,1005554994.0,134087747.0,42638813,pa,01/01/2023,12/31/2023,113360.0,0.1,11336.0,8000.0,8000.0,,,,False,,False,False,"MATHEWS, KAITLIN",UNASSIGNED REP,"STEPHAN, CRAIG"
"BREAD FINANCIAL PAYMENTS, INC.",1004064289.0,260511584.0,42638814,pa,12/01/2022,11/30/2023,95000.0,0.14,13300.000000000002,8000.0,8000.0,,,,False,,False,False,"ALARCON, BROOKE",UNASSIGNED REP,"HART, JACQUELINE"
BRIGHTSPRING HEALTH SERVICES,1005449173.0,132638242.0,42638814,pa,05/12/2023,05/11/2024,50618.88,0.14,7086.6432,8000.0,7086.6432,,,,False,,False,False,"ARCIERO, KIMBERLY",UNASSIGNED REP,"RUBIO, ALEJANDRO"
"BW NHHC HOLDCO,INC.DBA ELARA CARING",1005310613.0,136299213.0,42638814,pa,09/02/2023,09/01/2024,41471.49,0.14,5806.0086,8000.0,5806.0086,,,,False,,False,False,"D'ERRICO, ANTHONY",UNASSIGNED REP,"CHAVARRIA, SILCA"
CABINETWORKS GROUP MICHIGAN LLC,1004007862.0,134061086.0,42638814,pa,12/31/2022,12/30/2023,34611.2,0.14,4845.568,8000.0,4845.568,,,,False,,False,False,"REILLY, NICHOLAS",UNASSIGNED REP,"EVELOFF, MONA"
CADENCE BANK,1005380013.0,137030612.0,42638814,pa,08/19/2023,08/18/2024,41600.0,0.14,5824.000000000001,8000.0,5824.000000000001,,,,False,,False,False,"ARCIERO, KIMBERLY",UNASSIGNED REP,"GARCIA, ERICK"
CANDELA CORP,1005694092.0,136156357.0,42638816,pa,04/04/2023,04/03/2024,36862.8,0.14,5160.792000000001,8000.0,5160.792000000001,,,,False,,False,False,"BARTHOLOMAY, MIKE",UNASSIGNED REP,"MARTINEZ, MARIA"
"CARESTREAM HEALTH, INC.",1003850944.0,135889496.0,42638814,pa,03/05/2023,03/03/2024,42912.0,0.14,6007.68,8000.0,6007.68,,,,False,,False,False,"RICHARDS, DEVIN",UNASSIGNED REP,"ARROYO, JESSICA"
"CARMAX ENTERPRISE SERVICES, LLC",1004027262.0,260425929.0,43060271,pa,02/01/2023,01/31/2024,30000.0,0.26,7800.0,30000.0,7800.0,,,,False,,False,False,"NOLAND, MIKE","NOLAND, MIKE","HOLMAN, CRYSTAL"
"CARMAX ENTERPRISE SERVICES, LLC",1004027262.0,261026120.0,42638815,pa,03/01/2023,02/28/2024,31200.0,0.24,7488.0,30000.0,7488.0,,,,False,,False,False,"NOLAND, MIKE",UNASSIGNED REP,"HOLMAN, CRYSTAL"
CARTER LUMBER,1003851476.0,136898775.0,42638814,pa,08/01/2023,07/31/2024,52353.6,0.14,7329.504000000001,8000.0,7329.504000000001,,,,False,,False,False,"ALARCON, BROOKE",UNASSIGNED REP,"HART, JACQUELINE"
CATALINA MARKETING CORPORATION,1005213596.0,136492913.0,42638816,pa,05/18/2023,05/17/2024,26863.2,0.14,3760.8480000000004,8000.0,3760.8480000000004,,,,False,,False,False,"CASH, JUSTIN",UNASSIGNED REP,"MARTINEZ, MARIA"
CDM SMITH INC.,1005546253.0,133875402.0,42638814,pa,07/01/2023,06/30/2024,60048.56,0.14,8406.7984,8000.0,8000.0,,,,False,,False,False,"FOGARTY, BOB",UNASSIGNED REP,"BIANCO, NICHOLAS"
CENTENE CORPORATION,1003852455.0,260181389.0,43060270,pa,12/01/2022,11/30/2023,572555.0,0.26,148864.30000000002,30000.0,30000.0,,,,False,,False,False,"MARCUS, JOEL","MARCUS, JOEL","MULLIN, WENDY"
"CENTURI CONSTRUCTION GROUP, INC.",1005196073.0,132680242.0,42638814,pa,01/01/2023,12/31/2023,67491.84,0.14,9448.857600000001,8000.0,8000.0,,,,False,,False,False,"BARGAR, BRADY",UNASSIGNED REP,"LEMOINE, PABLO"
CERENCE INC,1005597993.0,134655746.0,42638816,pa,05/21/2023,05/20/2024,30447.04,0.14,4262.5856,8000.0,4262.5856,,,,False,,False,False,"BARTHOLOMAY, MIKE",UNASSIGNED REP,"MARTINEZ, MARIA"
CF INDUSTRIES INC,1004034968.0,133024711.0,42638814,pa,12/19/2022,12/18/2023,98534.84,0.14,13794.877600000002,8000.0,8000.0,,,,False,,False,False,"CADLE, PATRICK",UNASSIGNED REP,"KARTZ, SARA"
CHARLES RIVER LABORATORIES,1003851646.0,260439971.0,43060271,pa,12/01/2022,11/30/2023,59089.68,0.26,15363.3168,30000.0,15363.3168,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"BIANCO, NICHOLAS"
CHEMED CORPORATION,1003850614.0,260208311.0,43060271,pa,12/01/2022,11/30/2023,56718.62,0.26,14746.8412,30000.0,14746.8412,,,,False,,False,False,"NOLAND, MIKE","NOLAND, MIKE","GONDEK, ERIC"
"CIGNA CORPORATE SERVICES, LLC",1004871142.0,260429133.0,43060270,pa,12/01/2022,11/30/2023,1055000.0,0.26,274300.0,30000.0,30000.0,,,,False,,False,False,"MERRICK, SHAYNE","MERRICK, SHAYNE","HEMINGWAY, ALYCIA"
"CIRCOR INTERNATIONAL, INC.",1003853189.0,131943445.0,42638814,pa,01/01/2023,12/31/2023,47801.89,0.14,6692.2646,8000.0,6692.2646,,,,False,,False,False,"FOGARTY, BOB",UNASSIGNED REP,"BIANCO, NICHOLAS"
CIT GROUP (NJ) LLC.,1003852106.0,260374556.0,43060270,pa,12/01/2022,11/30/2023,510917.0,0.26,132838.42,30000.0,30000.0,,,,False,,False,False,"ARCIERO, KIMBERLY","ARCIERO, KIMBERLY","BOOTH, EVONNE"
CLARIVATE ANALYTICS (US) LLC,1004952048.0,261696140.0,42638814,pa,09/30/2023,09/28/2024,164673.6,0.14,23054.304000000004,8000.0,8000.0,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"KOLITSOV, MARTIN"
CLEVELAND-CLIFFS INC.,1004345070.0,260101175.0,42638814,pa,12/01/2022,11/30/2023,36470.13,0.14,5105.8182,8000.0,5105.8182,,,,False,,False,False,"PULEO, FRANK",UNASSIGNED REP,"GONDEK, ERIC"
CMG MEDIA CORP,1005495207.0,133024398.0,42638814,pa,07/07/2023,07/05/2024,42831.36,0.14,5996.3904,8000.0,5996.3904,,,,False,,False,False,"CALLAWAY, JUDITH",UNASSIGNED REP,"HOLMAN, CRYSTAL"
CNH AMERICA LLC,1003852110.0,260196299.0,42638813,pa,12/01/2022,11/30/2023,92638.26,0.1,9263.826,8000.0,8000.0,,,,False,,False,False,"CADLE, PATRICK",UNASSIGNED REP,"GONDEK, ERIC"
CNX RESOURCES CORPORATION,1005219304.0,134636746.0,42638814,pa,05/02/2023,05/01/2024,57108.48,0.14,7995.187200000001,8000.0,7995.187200000001,,,,False,,False,False,"BOUSSEN, YOUSSEF",UNASSIGNED REP,"VAKIL, SHIVAM"
COGNYTE SOFTWARE INC,1005553330.0,134041261.0,42638814,pa,06/01/2023,05/31/2024,37180.0,0.14,5205.200000000001,8000.0,5205.200000000001,,,,False,,False,False,"ADAMS, TYLER",UNASSIGNED REP,"HUITRON GOMEZ, ALBERTO"
COLLIBRA INC,1005599218.0,135017787.0,42638816,pa,06/15/2023,06/14/2024,40203.07,0.14,5628.429800000001,8000.0,5628.429800000001,,,,False,,False,False,"LAWLESS, BOB",UNASSIGNED REP,"MARTINEZ, MARIA"
COLUMBUS MCKINNON CORPORATION,1003853194.0,136200197.0,42638814,pa,03/01/2023,02/29/2024,42328.0,0.14,5925.920000000001,8000.0,5925.920000000001,,,,False,,False,False,"CASALE, DAVID",UNASSIGNED REP,"HART, JACQUELINE"
COMMERCIAL METALS COMPANY,1003851251.0,261111377.0,42638814,pa,08/01/2023,07/31/2024,54080.0,0.14,7571.200000000001,8000.0,7571.200000000001,,,,False,,False,False,"WASHINGTON, JENNIFER",UNASSIGNED REP,"CHAVARRIA, SILCA"
"COMMUNITY TRUST BANCORP, INC.",1003853169.0,135895614.0,42638816,pa,01/01/2023,12/31/2023,28600.0,0.14,4004.0000000000005,8000.0,4004.0000000000005,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"ROJAS, PAOLA"
CONSOLIDATED EDISON CO. OF NY,1003849222.0,260337123.0,43060271,pa,12/01/2022,11/30/2023,123789.12,0.26,32185.1712,30000.0,30000.0,,,,False,,False,False,"RUSSO, JENNIFER","RUSSO, JENNIFER","CLEESATTEL, PAUL"
"CORELOGIC, INC.",1004003318.0,136897138.0,42638814,pa,07/01/2023,06/30/2024,68057.77,0.14,9528.087800000001,8000.0,8000.0,,,,False,,False,False,"WASHINGTON, JENNIFER",UNASSIGNED REP,"DEWITT, DEBORAH"
CORONADO GLOBAL RESOURCES INC,1005388691.0,134367332.0,42638814,pa,01/01/2023,12/31/2023,43399.2,0.14,6075.888,8000.0,6075.888,,,,False,,False,False,"ALARCON, BROOKE",UNASSIGNED REP,"BERNAL, ESTEFANIA"
"COSTAR GROUP, INC.",1005241371.0,134749857.0,42638813,pa,07/02/2023,07/01/2024,61867.52,0.1,6186.752,8000.0,6186.752,,,,False,,False,False,"MATHEWS, KAITLIN",UNASSIGNED REP,"ESCALANTE, ANTONIO"
CRANE NXT,1003851329.0,132004329.0,42638814,pa,12/01/2022,11/30/2023,46272.19,0.14,6478.106600000001,8000.0,6478.106600000001,,,,False,,False,False,"ADAMS, TYLER",UNASSIGNED REP,"BIANCO, NICHOLAS"
CROSS RIVER BANK,1005662815.0,135914657.0,42638816,pa,12/30/2022,12/29/2023,24377.6,0.14,3412.864,8000.0,3412.864,,,,False,,False,False,"PINKOS, MATT",UNASSIGNED REP,"MARTINEZ, MARIA"
CROSSAMERICA PARTNERS LP,1005438067.0,132437718.0,42638814,pa,01/01/2023,12/31/2023,50754.08,0.14,7105.571200000001,8000.0,7105.571200000001,,,,False,,False,False,"MCCULLOUGH, TOM",UNASSIGNED REP,"KOLITSOV, MARTIN"
"CSC HOLDINGS, LLC",1003850055.0,261343249.0,42638816,pa,01/01/2023,12/31/2023,72763.14,0.14,10186.839600000001,8000.0,8000.0,,,,False,,False,False,"ADAMS, TYLER",UNASSIGNED REP,"KOLITSOV, MARTIN"
CSW INDUSTRIALS INC,1005574196.0,134353818.0,42638816,pa,02/28/2023,02/27/2024,25193.71,0.14,3527.1194,8000.0,3527.1194,,,,False,,False,False,"CLARK, ALEX",UNASSIGNED REP,"PATEL-SHAH, NIRALI"
CUMMINS INC.,1003850081.0,260180343.0,43060271,pa,12/01/2022,11/30/2023,184866.0,0.26,48065.16,30000.0,30000.0,,,,False,,False,False,"ANDREWS, JAY","ANDREWS, JAY","LELACHEUR, CHERYL"
"CURIA GLOBAL, INC.",1005491606.0,135382231.0,42638814,pa,09/01/2023,08/31/2024,48672.0,0.14,6814.080000000001,8000.0,6814.080000000001,,,,False,,False,False,"CASALE, DAVID",UNASSIGNED REP,"ESPERICUETA, STEPHANIE"
CYPRESS CREEK RENEWABLES,1005784803.0,260684376.0,42638816,pa,05/15/2023,05/14/2024,17580.0,0.14,2461.2000000000003,8000.0,2461.2000000000003,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,UNASSIGNED REP
"CYXTERA TECHNOLOGIES, LLC",1005400293.0,260617752.0,42638816,pa,11/04/2022,11/03/2023,43000.0,0.14,6020.000000000001,8000.0,6020.000000000001,,,,False,,False,False,"CALLAWAY, JUDITH",UNASSIGNED REP,"TELLEZ, PALOMA"
DASSAULT SYSTEMES AMERICAS CORP,1003874776.0,133150934.0,42638814,pa,12/01/2022,11/30/2023,67367.15,0.14,9431.401,8000.0,8000.0,,,,False,,False,False,"FOGARTY, BOB",UNASSIGNED REP,"ESPERICUETA, STEPHANIE"
DAVITA INC,1003849710.0,260606717.0,43068051,pa,12/27/2022,11/30/2023,330270.0,0.26,85870.2,30000.0,30000.0,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"DEWITT, DEBORAH"
DFS CORPORATE SVCS LLC,1003852631.0,135416504.0,42638813,pa,07/22/2023,07/21/2024,86333.31,0.1,8633.331,8000.0,8000.0,,,,False,,False,False,"CADLE, PATRICK",UNASSIGNED REP,"KARTZ, SARA"
DISCORD INC,1005659081.0,135847979.0,42638816,pa,12/13/2022,12/12/2023,24377.6,0.14,3412.864,8000.0,3412.864,,,,False,,False,False,"FOX, JASON",UNASSIGNED REP,"PATEL-SHAH, NIRALI"
"DISNEY FINANCIAL SERVICES CO., LLC",1003849882.0,260364343.0,42939096,pa,11/22/2022,09/30/2023,609613.0,0.26,158499.38,30000.0,30000.0,,,,False,,False,False,"BRYANT, JO","BRYANT, JO","WHITAKER, CATHY"
"DNV GL USA, INC.",1004681829.0,261410207.0,42638814,pa,05/04/2023,05/02/2024,12480.0,0.14,1747.2000000000003,8000.0,1747.2000000000003,,,,False,,False,False,"NUNAMAKER, KEN",UNASSIGNED REP,"GARCIA, ERICK"
DREW MARINE PARENT LLC,1005399505.0,131810007.0,42638816,pa,11/01/2022,10/31/2023,29544.84,0.14,4136.2776,8000.0,4136.2776,,,,False,,False,False,"CASALE, DAVID",UNASSIGNED REP,"HUITRON GOMEZ, ALBERTO"
DXC TECHNOLOGY SERVICES LLC,1004633265.0,260960410.0,42638815,pa,04/01/2023,03/30/2024,444049.49,0.24,106571.87759999999,30000.0,30000.0,,,,False,,False,False,"MATHEWS, KAITLIN",UNASSIGNED REP,"HEMINGWAY, ALYCIA"
DYNATA LLC,1005595101.0,134703365.0,42638814,pa,07/01/2023,06/30/2024,59488.0,0.14,8328.320000000002,8000.0,8000.0,,,,False,,False,False,"CASALE, DAVID",UNASSIGNED REP,"KOLITSOV, MARTIN"
ELLIOTT COMPANY,1003850037.0,133515440.0,42638813,pa,01/01/2023,12/31/2023,89700.0,0.1,8970.0,8000.0,8000.0,,,,False,,False,False,"PULEO, FRANK",UNASSIGNED REP,"BERNAL, ESTEFANIA"
EMCOR GROUP INC.,1003850452.0,135458463.0,42638814,pa,10/01/2022,09/30/2023,58500.0,0.14,8190.000000000001,8000.0,8000.0,,,,False,,False,False,"CASALE, DAVID",UNASSIGNED REP,"KOLITSOV, MARTIN"
EMERGENT BIOSOLUTIONS INC.,1004302229.0,133479617.0,42638814,pa,07/06/2023,07/05/2024,93288.0,0.14,13060.320000000002,8000.0,8000.0,,,,False,,False,False,"MATHEWS, KAITLIN",UNASSIGNED REP,"ESCALANTE, ANTONIO"
EMERSON ELECTRIC CO.,1003851199.0,261417678.0,43060270,pa,08/01/2023,07/31/2024,888189.0,0.26,230929.14,30000.0,30000.0,,,,False,,False,False,"RICHARDS, DEVIN","RICHARDS, DEVIN","MULLIN, WENDY"
"ENTERGY SERVICES, INC.",1004610620.0,260456496.0,43060271,pa,12/01/2022,11/30/2023,182000.0,0.26,47320.0,30000.0,30000.0,,,,False,,False,False,"NUNAMAKER, KEN","NUNAMAKER, KEN","SHEKHA, SAM"
EQT CORPORATION,1003852155.0,133522885.0,42638814,pa,12/01/2022,11/30/2023,61651.2,0.14,8631.168,8000.0,8000.0,,,,False,,False,False,"BOUSSEN, YOUSSEF",UNASSIGNED REP,"VAKIL, SHIVAM"
EVONIK DEGUSSA CORPORATION,1003851198.0,260663144.0,42638814,pa,12/01/2022,11/30/2023,58537.44,0.14,8195.241600000001,8000.0,8000.0,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"KOLITSOV, MARTIN"
FANNIE MAE,1003850005.0,136704660.0,42638814,pa,01/01/2023,12/31/2023,120900.0,0.14,16926.0,8000.0,8000.0,,,,False,,False,False,"D'ERRICO, ANTHONY",UNASSIGNED REP,"HART, JACQUELINE"
FINANCE OF AMERICA HOLDINGS LLC,1005666101.0,135781997.0,42638816,pa,01/01/2023,12/31/2023,21330.4,0.14,2986.2560000000003,8000.0,2986.2560000000003,,,,False,,False,False,"CLARK, ALEX",UNASSIGNED REP,"PATEL-SHAH, NIRALI"
FIRST INTERSTATE BANK,1003853476.0,132208734.0,42638816,pa,02/28/2023,02/27/2024,43237.98,0.14,6053.317200000001,8000.0,6053.317200000001,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"ESCALANTE, ANTONIO"
FIRST NATIONAL BANK OF OMAHA,1003846737.0,134016335.0,42638816,pa,12/21/2022,12/20/2023,43264.0,0.14,6056.960000000001,8000.0,6056.960000000001,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"CHAVARRIA, SILCA"
FLYWIRE CORP,1005833320.0,261417477.0,42638816,pa,08/07/2023,08/06/2024,44700.0,0.14,6258.000000000001,8000.0,6258.000000000001,,,,False,,False,False,"BARTHOLOMAY, MIKE",UNASSIGNED REP,"MARTINEZ, MARIA"
FRANKLIN TEMPLETON COMPANIES LLC,1003849496.0,261531881.0,43060270,pa,09/01/2023,08/30/2024,636000.0,0.26,165360.0,30000.0,30000.0,,,,False,,False,False,"BRYANT, JO","BRYANT, JO","WHITAKER, CATHY"
FRONTDOOR INC,1005504478.0,261391337.0,42638814,pa,08/01/2023,07/30/2024,37726.21,0.14,5281.669400000001,8000.0,5281.669400000001,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"ROJAS, PAOLA"
"FTI CONSULTING, INC.",1004288403.0,134569231.0,42638814,pa,05/01/2023,04/30/2024,58676.8,0.14,8214.752,8000.0,8000.0,,,,False,,False,False,"CHRISTAKIS, ELAINA",UNASSIGNED REP,"BRICENO MENDOZA, FERNANDO"
FULLSTEAM OPERATIONS LLC,1005770644.0,260625240.0,42638816,pa,01/01/2023,12/31/2023,25994.0,0.14,3639.1600000000003,8000.0,3639.1600000000003,,,,False,,False,False,"HENRY, GERALD",UNASSIGNED REP,"MARTINEZ, MARIA"
FUTUREFUEL CHEMICAL COMPANY,1003849754.0,132077695.0,42638816,pa,01/01/2023,12/31/2023,22497.28,0.14,3149.6192,8000.0,3149.6192,,,,False,,False,False,"WIER, JOHN",UNASSIGNED REP,"MARTINEZ, MARIA"
GARRET MOTION INC,1005537288.0,133617971.0,42638814,pa,11/03/2022,11/02/2023,59488.0,0.14,8328.320000000002,8000.0,8000.0,,,,False,,False,False,"DYMKOWSKI, ROBERT",UNASSIGNED REP,"PATEL-SHAH, NIRALI"
GENERAL ELECTRIC CO,1003852510.0,136278423.0,42638814,pa,01/01/2023,12/31/2023,35000.0,0.14,4900.000000000001,8000.0,4900.000000000001,,,,False,,False,False,"FOGARTY, BOB",UNASSIGNED REP,"HEMINGWAY, ALYCIA"
GENERAL ELECTRIC CO,1003852510.0,136278423.0,42638814,pa,01/01/2023,12/31/2023,242250.0,0.14,33915.0,8000.0,8000.0,,,,False,,False,False,"FOGARTY, BOB",UNASSIGNED REP,"HEMINGWAY, ALYCIA"
GENESEE & WYOMING RAILROAD SERVICES,1003851176.0,260180938.0,43060270,pa,12/01/2022,11/30/2023,295276.8,0.26,76771.968,30000.0,30000.0,,,,False,,False,False,"CASALE, DAVID","CASALE, DAVID","HART, JACQUELINE"
GERDAU AMERISTEEL,1004248814.0,132347002.0,42638814,pa,12/01/2022,11/30/2023,35800.96,0.14,5012.1344,8000.0,5012.1344,,,,False,,False,False,"CALLAWAY, JUDITH",UNASSIGNED REP,"VAKIL, SHIVAM"
GERMAN AMERICAN BANCORP,1005744264.0,260136410.0,42638816,pa,09/06/2023,09/05/2024,31040.0,0.14,4345.6,8000.0,4345.6,,,,False,,False,False,"MITCHELL, DOUG",UNASSIGNED REP,"MARTINEZ, MARIA"
GIBRALTAR INDUSTRIES,1003852190.0,135521340.0,42638814,pa,12/01/2022,11/30/2023,20355.54,0.14,2849.7756000000004,8000.0,2849.7756000000004,,,,False,,False,False,"CASALE, DAVID",UNASSIGNED REP,"ESPERICUETA, STEPHANIE"
"GIBSON BRANDS, INC.",1004016028.0,131244917.0,42638816,pa,07/02/2023,07/01/2024,37788.23,0.14,5290.352200000001,8000.0,5290.352200000001,,,,False,,False,False,"GRODECKY, PETE",UNASSIGNED REP,"ROJAS, PAOLA"
GLATFELTER CORPORATION,1003852193.0,134261542.0,42638814,pa,04/21/2023,04/20/2024,32448.0,0.14,4542.72,8000.0,4542.72,,,,False,,False,False,"RUSSO, JENNIFER",UNASSIGNED REP,"KOLITSOV, MARTIN"
GLAXOSMITHKLINE LLC,1005827059.0,261279475.0,42638816,pa,05/31/2023,05/30/2024,67500.0,0.14,9450.0,8000.0,8000.0,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"ESCALANTE, ANTONIO"
GLOBAL ATLANTIC FINANCIAL COMPANY,1004649858.0,136820027.0,42638814,pa,07/01/2023,06/30/2024,66144.0,0.14,9260.160000000002,8000.0,8000.0,,,,False,,False,False,"FOGARTY, BOB",UNASSIGNED REP,"ESPERICUETA, STEPHANIE"
GLOBALIZATION PARTNERS LLC,1005728135.0,136787356.0,42638814,pa,08/01/2023,07/31/2024,73060.0,0.14,10228.400000000001,8000.0,8000.0,,,,False,,False,False,"FOGARTY, BOB",UNASSIGNED REP,"BRICENO MENDOZA, FERNANDO"
GOAT,1005597775.0,135054305.0,42638816,pa,05/27/2023,05/26/2024,22183.62,0.14,3105.7068,8000.0,3105.7068,,,,False,,False,False,"HEITMAN, SPENCER",UNASSIGNED REP,"PATEL-SHAH, NIRALI"
GORDON BROTHERS HOLDINGS LLC,1005759123.0,260118492.0,42638816,pa,10/17/2022,10/16/2023,44850.0,0.14,6279.000000000001,8000.0,6279.000000000001,,,,False,,False,False,"BARTHOLOMAY, MIKE",UNASSIGNED REP,"MARTINEZ, MARIA"
HCC INSURANCE HOLDINGS,1003852209.0,260930159.0,42638814,pa,04/01/2023,03/31/2024,58000.0,0.14,8120.000000000001,8000.0,8000.0,,,,False,,False,False,"ANDREWS, JAY",UNASSIGNED REP,"SHEKHA, SAM"
HEARTLAND EXPRESS SERVICES INC,1005593332.0,134636199.0,42638814,pa,01/01/2023,12/31/2023,23790.0,0.14,3330.6000000000004,8000.0,3330.6000000000004,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"ARROYO, JESSICA"
HENRY SCHEIN INC,1003851275.0,134046908.0,42638814,pa,07/01/2023,06/30/2024,73549.0,0.14,10296.86,8000.0,8000.0,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"KOLITSOV, MARTIN"
HIKMA PHARMACEUTICALS USA INC,1005259423.0,134581169.0,42638814,pa,05/12/2023,05/11/2024,70540.87,0.14,9875.721800000001,8000.0,8000.0,,,,False,,False,False,"MCCULLOUGH, TOM",UNASSIGNED REP,"KOLITSOV, MARTIN"
HILLTOP HOLDINGS INC.,1004577143.0,260425536.0,43060271,pa,12/01/2022,11/30/2023,115979.97,0.26,30154.7922,30000.0,30000.0,,,,False,,False,False,"D'ERRICO, ANTHONY","D'ERRICO, ANTHONY","EVELOFF, MONA"
HILLTOP HOLDINGS INC.,1004577143.0,260551319.0,42638814,pa,12/18/2022,12/17/2023,53971.84,0.14,7556.0576,8000.0,7556.0576,,,,False,,False,False,"D'ERRICO, ANTHONY",UNASSIGNED REP,"EVELOFF, MONA"
"HOLOGIC, INC.",1004715164.0,133259286.0,42638813,pa,12/02/2022,12/01/2023,142486.42,0.1,14248.642000000002,8000.0,8000.0,,,,False,,False,False,"FOGARTY, BOB",UNASSIGNED REP,"BIANCO, NICHOLAS"
HUMANA INC.,1003850701.0,260377625.0,43068051,pa,12/01/2022,11/30/2023,305000.0,0.26,79300.0,30000.0,30000.0,,,,False,,False,False,"GRODECKY, PETE","GRODECKY, PETE","KARTZ, SARA"
"HUNTER DOUGLAS, INC.",1003849377.0,260805185.0,42638814,pa,01/01/2023,12/31/2023,52241.9,0.14,7313.866000000001,8000.0,7313.866000000001,,,,False,,False,False,"MERRICK, SHAYNE",UNASSIGNED REP,"BIANCO, NICHOLAS"
"IKEA NORTH AMERICA SERVICES, LLC -",1003853257.0,135687410.0,42638814,pa,08/01/2023,07/31/2024,47503.01,0.14,6650.421400000001,8000.0,6650.421400000001,,,,False,,False,False,"GALLAGHER, PAT",UNASSIGNED REP,"STEPHAN, CRAIG"
INARI MEDICAL INC,1005820871.0,261385225.0,42638816,pa,07/26/2023,07/25/2024,16803.0,0.14,2352.42,8000.0,2352.42,,,,False,,False,False,"HEITMAN, SPENCER",UNASSIGNED REP,UNASSIGNED REP
INDEED INC,1005414866.0,260840818.0,42638814,pa,01/01/2023,12/31/2023,47590.4,0.14,6662.656000000001,8000.0,6662.656000000001,,,,False,,False,False,"WASHINGTON, JENNIFER",UNASSIGNED REP,"HUITRON GOMEZ, ALBERTO"
INEOS US,1003851582.0,133741649.0,42638814,pa,01/01/2023,12/31/2023,67464.8,0.14,9445.072000000002,8000.0,8000.0,,,,False,,False,False,"BOUSSEN, YOUSSEF",UNASSIGNED REP,"GARCIA, ERICK"
INFINERA CORPORATION,1003850507.0,260174492.0,42638814,pa,12/01/2022,11/30/2023,60840.0,0.14,8517.6,8000.0,8000.0,,,,False,,False,False,UNASSIGNED REP,UNASSIGNED REP,"OTT, EVA"
INGERSOLL RAND INC.,1005533008.0,133541991.0,42638813,pa,12/01/2022,11/30/2023,87330.38,0.1,8733.038,8000.0,8000.0,,,,False,,False,False,"MASSIE, TYLER",UNASSIGNED REP,"HOLMAN, CRYSTAL"
INSIGHT GLOBAL INC,1005675710.0,135917662.0,42638816,pa,12/05/2022,12/04/2023,22854.0,0.14,3199.5600000000004,8000.0,3199.5600000000004,,,,False,,False,False,"HENRY, GERALD",UNASSIGNED REP,"MARTINEZ, MARIA"
